title,openTypeList,detail
京单二八,农业##植物,京单28，北京市农林科学院玉米研究中心选育。在京津唐地区夏播出苗至成熟95天，比唐抗5号晚熟3天，需有效积温2500℃左右。幼苗叶鞘紫色，叶片绿色，花药黄色，颖壳紫色。适宜在北京、天津两市，河北省的唐山、廊坊、保定北部、沧州中北部夏玉米种植区种植。茎腐病、矮花叶病和玉米螟高发区慎用。
京新801,农业##植物##种子,京新801是由武威三新种业有限责任公司培育的品种，是以SX07108为父本、SX07143为母本组配的杂交种。 生育期100-110天，中熟；蔓长0.6-1.1米。叶色深绿，叶片呈掌状，老熟瓜为黄皮，呈长圆形，色泽墨绿。适宜在甘肃省民勤种植。
京冬一七,农业##植物,京冬一七是由北京杂交小麦工程技术研究中心研制的品种，国家审定种植农作物品种，冬性，中早熟。幼苗半匍匐，叶色浓绿，分蘖力中等，成穗率较高。株高75厘米左右，株型紧凑，叶片上冲。2005～2006年度参加北部冬麦区水地组品种区域试验，平均亩产428.6公斤。
京冬二二,农业##植物,京冬二二，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，国家农业部二○○七年十二月七日公告。冬性，中早熟，成熟期比对照京冬8号早熟1天左右。幼苗半匍匐，分蘖力中等，成穗率中等。株高80厘米左右，株型紧凑。穗纺锤型，长芒，白壳，红粒，半角质。平均亩穗数40.8万穗，穗粒数31.4粒，千粒重40.2克。抗倒性中等
京福优167,农业##农作物##植物##水稻,京福优167是以大穗型不育系京福1A与明恢67配制而成的杂交稻新组合，2004年11月3日通过了福建省三明市品种审定委员会的审定，具有一定的推广应用价值。
京科青贮五一六,农业##植物,京科青贮516，北京市农林科学院玉米研究中心选育。在东华北地区出苗至青贮收获期115天，比对照农大108晚4天，需有效积温2900℃左右。幼苗叶鞘紫色，叶片深绿色，叶缘紫色，花药黄色，颖壳紫色，是生物学植物系统分类中被子植物门下一个的物种名称。
京花九号,农业##植物,京花9号，北京杂交小麦工程技术研究中心选育。冬性，早熟，成熟期比对照京冬8号早2天左右。幼苗半匍匐，分蘖力中等，成穗率中等。株高85厘米左右。穗纺锤形，长芒，白壳，红粒，角质。适宜在北部冬麦区的北京等地种植。
今夏秋王,农业##植物##种子,今夏秋王（Lactuca sativa Linn. var. angustata Irish ex Bremer）是莴笋的一个品种，单株重0.6-1.0千克，宜作夏秋季栽培，其特点是特耐热、耐湿，抗病力强，抗逆性好，高温条件下易抽苔，（短期可抗高温38℃），叶大披针形，浅绿色，肉质茎皮薄，色白，茎肉青绿色，嫩脆。四川盆地最佳播期4-8月，低温催芽（采取井吊、冰箱）苗床注意遮荫，苗龄20-25天，亩栽5000株左右。
今夏王,农业##植物##种子,今夏王新繁育的新品种，肉质茎皮薄，色白，茎肉青绿色，嫩脆，单株重可达0.6-1.0千克，宜作夏秋季栽培，注意防治霜霉病、软腐病、病毒病和蚜虫的危害。
京科968,农业##植物##生物##种子##自然,在东华北地区出苗至成熟128天，与郑单958相当。幼苗叶鞘淡紫色，叶片绿色，叶缘淡紫色，花药淡紫色，颖壳淡紫色。株型半紧凑，株高296厘米，穗位高120厘米，成株叶片数19片。花丝红色，果穗筒型，穗长18.6厘米，穗行数16～18行，穗轴白色，籽粒黄色、半马齿型，百粒重39.5克。
今冬王,农业##植物##种子,"今冬王，莴笋品种，号称“莴笋王”，四川盆地播期一般为8月下旬至12月，苗载5000株左右，是目前耐寒力特强的低温专用型优秀品种。目前是耐寒力特强的低温专用型优秀品种,最适合于专业蔬菜基地选用。"
今秋王,农业##植物##种子,今秋王，莴笋品种。叶大披针形，浅绿色，特耐热、耐湿。抗病力强、抗逆性好，高温条件下不易抽苔、(短期可抗高温40℃)，肉质茎皮薄、色白、茎肉青绿色，嫩脆。是蔬菜基地主栽品种，单株重可达0.6-1.0千克，宜作夏秋季栽培，是生物学植物系统分类中被子植物门下一个的物种名称。
佳绿,农业##植物##种子,佳绿菜豆是从日本引进的无架矮生型菜豆品种。经过两年试种，日本佳绿菜豆表现出适应性强、早熟高产、抗病耐瘠、品质优良等特点，栽培管理简单，生产成本低，经济效益高。
佳尔三三六,农业##植物,佳尔336，吉林省王义种业有限责任公司选育。母本E221，来源于C8605×美国硬杆玉米；父本吉853，引自吉林省农科院。幼苗叶鞘浅紫色，叶片深绿色，叶缘紫红色，花药黑紫色。株型半紧凑，株高300厘米，穗位高130厘米，成株叶片数19片，是生物学植物系统分类中被子植物门下一个的物种名称。
今夏青,农业##植物##种子,今夏青，是莴笋的一个品种。在四川盆地、长江流域1-10月均可播种，低温催芽，苗龄25-30天，重施磷钾有机肥，厢式栽培，带土移栽，亩植4500株左右，浇足定根水，适施提苗肥，猛追开盘肥，茎肉膨大时根据长势巧施送嫁肥，适时采收，注意防治霜霉病、软腐病、病毒病和蚜虫的危害。
佳玉,农业##植物##自然##蔬菜,佳玉，属早熟杂交一代苦瓜品种。佳玉在福建多年多点试验、示范，种性表现稳定，一般亩产2200公斤以上。
冀棉616,农业##棉花##植物##生物##自然,冀棉616，植株塔型。株高92.9cm，生育期133天左右。
K优二一三,农业##植物,K优二一三，，四川省嘉陵农作物品种研究中心、四川省农科院泸州水稻高粱研究所选育。属籼型三系杂交水稻。在长江中下游作一季中稻种植全生育期平均130.4天，比对照Ⅱ优838早熟3.3天。
克丰13号,农业##技术##植物##生物##科技产品##自然,该品种符合国家小麦品种审定标准，通过审定。适宜在东北春麦区的黑龙江北部、内蒙古呼伦贝尔和兴安盟种植。
冀杂二号,农业##植物,冀杂2号，河北省农林科学院棉花研究所、中国农业科学院生物技术研究所选育。转抗虫基因中熟杂交一代品种，黄河流域棉区春播生育期122天，苗期长势一般，中后期长势好，后期叶功能较好，不早衰。适宜在河北东南部、南部、中南部，山东北部，河南中部、北部，江苏、安徽淮河以北，陕西关中的黄河流域棉区春播种植。
克丰一三号,农业##植物,克丰一三号，国家审定种植农作物品种，春性，晚熟，生育期100天左右。幼苗直立，分蘖力强。穗纺锤型，长芒，白壳，红粒，角质率高。抗旱性较好，抗倒性好，熟相较好。适宜在东北春麦区的黑龙江北部、内蒙古呼伦贝尔和兴安盟种植。
克单14,农业##植物##生物##自然,黑龙江省农业科学院克山分院于2002年以KS23为母本，以KL613为父本杂交育成，于2010年春经黑龙江省农作物品种审定委员会审定推广，原代号克346。
两优六三二六,农业##植物##水稻,两优六三二六属籼型两系杂交水稻。在长江中下游作一季中稻种植全生育期平均129.6天，比对照Ⅱ优838早熟4.6天。株型适中，茎秆粗壮，长势繁茂，叶色浓绿，剑叶挺直，熟期转色好，每亩有效穗数15.4万穗，株高120.0厘米，穗长24.3厘米，每穗总粒数178.7粒，结实率82.9%，千粒重27.2克。抗性：稻瘟病综合指数7.2级，穗瘟损失率最高9级；白叶枯病7级。米质主要指标：整精米率65.9%，长宽比3.0，垩白粒率27%，垩白度3.2%，胶稠度50毫米，直链淀粉含量14.8%
两优多系一号,农业##植物##水稻,两优多系1号是由福建旺穗种业有限公司、福建省农科院水稻研究所培育出的杂交水稻。，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过。
临奥九号,农业##植物,临奥九号，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，中华人民共和国农业部二○○七年十一月十四日公告。该品种符合国家玉米品种审定标准，通过审定。适宜在四川、重庆、云南、湖南、湖北、贵州遵义地区、广西的平坝丘陵和低山区种植，茎腐病、丝黑穗病和纹枯病高发区慎用。
临草2号,农业##技术##植物##生物##科技产品##自然,临草2号由山西省农业科学院小麦研究所选育的小麦品种，生长整齐，生长势强。根系发达，植株繁茂，茎杆粗壮，弹性好，抗倒性较好，株高150-170cm，叶色深绿适合在山西省运城、临汾秋播。
乐丰优329,农业##植物##生物##自然,乐丰优329 ，用福建省农业科学院水稻研究所选育的不育系乐丰A与自育恢复系蜀恢329组配而成的中籼迟熟杂交水稻品种。株高114.2厘米，叶色淡绿，叶鞘、稃尖紫色，叶下禾，株型适中，是生物学植物系统分类中单子叶植物纲下一个的物种名称。
乐豆1号,农业##植物##生物##自然,品种来源：系乐山市农科所1992年以筠连七转豆作母本，日本珍黄豆作父本进行杂交，经多年系谱法选育而成。
六陈,中药##农业##农作物##地名##植物##自然,中药六陈指陈皮、半夏、枳壳、麻黄、狼毒、吴茱萸六种陈放使用效果更好的中药。粮食六陈是指大米﹑大麦﹑小麦﹑大豆﹑小豆﹑芝麻六种粮食。“肉桂之乡”六陈镇位于广西省平南县西南部。
内二优六号,农业##植物##水稻,内二优六号，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，中华人民共和国农业部二○○七年十一月十四日公告。
内葵杂3号,农业##农作物##植物##自然,"内葵杂3号是内蒙古农牧业科学院选育的油用向日葵品种。2003年通过内蒙古自治区农作物品种审定委员会审定（审定编号为2003002）。该品种自审定以来,在赤峰市的翁牛特旗、林西县、克旗、松山区、敖汉旗等旗县大面积推广种植,表现出产量高、抗病性强、抗旱、抗倒伏,适应性广等优点,很受当地农民欢迎"
N2优28,农业##植物##水稻##自然,N2优28，是湖北省荆楚种业股份有限公司用不育系“N2A”与恢复系“R99—28”配组育成的杂交中稻品种。区试代号：糯优28。商品名：楚糯杂1号。2006年通过湖北省农作物品种审定委员会审定，品种审定编号为鄂审稻2006007。
农业地球化学,农业##土壤学##地球化学##学科##植物学,英文：agricultural geochemistry 　　释文：与大农业相关的地球化学问题。 　　涉及到与农作物生长有关的地球化学元素从土壤——水——农作物的迁移、转化、赋存条件；土壤中易于植物吸收的化学元素的有效态；土地的合理规划和利用；土壤污染及其防治等。
农乐988,农业##农作物##植物##生物##自然,农乐988杂交玉米新品种于2008年通过国家品种审定委员会审定，在山东等黄淮海夏玉米区生育期99天。经河北省农林科学院植物保护研究所两年接种鉴定，抗大斑病、小斑病和矮花叶病，抗倒性强。
农丰长茄,农业##植物##自然,农丰长茄 植物。　选育单位：广东省农业科学院蔬菜研究所 。杂交一代品种。从播种至始收春季113天、秋季88天，延续采收期春季45天、秋季59天，全生育期春季158天、秋季147天。育苗移栽，注意整枝摘除老病叶。抗病性鉴定为中抗青枯病。田间表现耐热性、耐寒性、耐涝性和耐旱性强。适宜我省茄子产区春、秋季种植。
农华50,农业##植物##生物##自然,农华50是由北京金色农华种业科技有限公司培育的品种，苗叶鞘紫色，株型紧凑，株高230cm，穗位95cm，雄穗分枝15～18条，2008年参加山西省玉米南部复播区引种试验，平均亩产654.5kg，比对照增产9.3%。适宜在山西南部复播玉米区。
农华9,农业##植物##玉米,幼苗叶鞘紫色，叶片绿色，叶缘紫红色，株型紧凑，株高315厘米，穗位137厘米，成株叶片数21～22片。花丝绿色，花药黄色，颖壳绿色。果穗筒型，穗长23.8厘米，穗行数16～20行，穗轴红色，籽粒黄色，粒型为半硬粒，百粒重39.2克。倒伏（折）率0～3.3%，是生物学植物系统分类中被子植物门下一个的物种名称。
农华101,农业##植物##生物##自然,农华101，由北京金色农华种业科技有限公司选育。幼苗叶鞘浅紫色，叶片绿色，叶缘浅紫色，花药浅紫色，颖壳浅紫色。适宜在北京、天津、河北北部、山西中晚熟区、辽宁中晚熟区、吉林晚熟区、内蒙古赤峰地区、陕西延安地区春播种植，山东、河南（不含驻马店）、河北中南部、陕西关中灌区、安徽北部、山西运城地区夏播种植。
农友208西瓜,农业##植物,农友208西瓜露地或保护地栽培适宜，亩栽500株左右，选留第二雌花或第三雌花坐果，因各地栽培种植条件不同请参考当地有关西瓜栽培资料。
农大3494,农业##小麦##植物##生物##种子##自然,2009、2010连续两年参加北京市高肥组区域试验，平均亩产450.57公斤，比对照京411增产3.2％。2010年生产试验平均亩产366.44公斤，比对照京411增产1.6％。
农大3138,农业##植物##生物##自然,农大3138，生育期128天左右，株高320cm，穗位140cm，近似塔型植株，叶鞘深紫色，叶片窄长斜上冲，叶尖下垂，叶色深绿，长势繁茂，光能利用率高活杆成熟。茎杆坚韧，抗倒伏，抗黑穗病，抗大、小斑病，抗青枯病等多种病害。在生殖生长期间抽雄、吐丝间隔时间短，授粉率高，果穗发育早，穗型整齐籽粒灌浆速度快，综合抗性好。
Q优6号,农业##植物##水稻,Q优6号，该品种熟期适中，产量高，米质优，高感稻瘟病。适宜在云南、贵州、重庆的中低海拔籼稻区（武陵山区除外）、四川平坝丘陵稻区、陕西南部稻区的稻瘟病轻发区作一季中稻种植。
乒乓葡萄,农业##植物##生物##科学##自然,“乒乓葡萄”学名藤稔葡萄，因其个头可以大如乒乓球、颜色漂亮，曾经闻名全中国。原产日本，系日本用井川682与先锋杂交培育的四倍体品种。1986年引入中国。
全优五二七,农业##植物##水稻,全优五二七，该品种属籼型三系杂交水稻。国家审定种植农作物品种。由福建省农科院水稻研究所、四川农业大学水稻研究所培育，是生物学植物系统分类中被子植物门下一个的物种名称。
农大棉9号,农业##植物##种子,农大棉9号属转基因抗虫杂交一代品种，全生育期125天左右。河北省农林科学院植物保护研究所鉴定，2009年枯萎病病指0.07，黄萎病相对病指27.9，属高抗枯萎耐黄萎类型。建议在河北省中南部棉区春播种植。
三北一一,农业##植物,三北一一，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，中华人民共和国农业部二○○七年十一月十四日公告。适宜在四川、重庆、贵州、湖南、湖北、云南的平坝丘陵和低山区种植，丝黑穗病、大斑病、纹枯病和玉米螟高发区慎用。
三青大棒香笋,农业##植物##种子,三青大棒香笋，是最新培育出的耐寒、浓郁香味型莴笋品种。单株重可达0.5-1公斤。长江流域8月下旬至10月底播种，春季2月初至3月中旬播种(生长温度15-25℃)。注意防治霜霉病、软腐病、病毒病和蚜虫的危害。
世纪甜,农业##植物##生物##自然,世纪甜，甜瓜属，山西迪丰农业科技开发有限公司、山西省农业科学院园艺研究所选育。薄皮甜瓜。早熟种，全生育期86天左右，果实发育期30天左右。植株生长势中等，坐果率高，以子蔓结瓜为主，单株可坐瓜4个。适宜大棚、地膜和小拱棚等保护地早熟栽培。
世纪137,农业##农作物##植物##水稻,世纪137系福建省农科院稻麦所用的后代选育而成的晚籼中熟品种。1999年3月通过福建省农作物品种审定委员会审定。全生育期作晚稻栽培133d左右，比鄂荆糯6号长1至3d，比汕优桂32长6至8d。
T301,农业##植物##种子,T301，是由甘肃武威天马高新农业科技有限责任公司出品的品种，从澳大利亚引进，在2008-2009年多点试验中，平均亩产387.7公斤。播期春播在4月中下旬，夏播最迟6月底以前。一般采用穴播每穴2粒的方法以保全苗，播种深度3-5厘米，亩保苗3500-4000株。
T302,农业##植物##种子,T302属早熟品种，春播生育期为100-110天，夏播生育期为95-100天。株高180-200厘米，花盘倾斜度适中，盘径14-18厘米，籽粒整齐饱满，千粒重70-80克，粗蛋白含量22.6%，粗脂肪含量43.6%。田间调查较抗菌核病、霜霉病。
T优二七二,农业##植物##水稻,T优二七二，属禾本目，禾本科。主要种植在湖南省。
T优一五,农业##植物##水稻,T优一五，是国家审定种植农作物品种，由湖南怀化奥谱隆作物育种工程研究所选育，属籼型三系杂交水稻，在长江中下游作早稻种植全生育期平均109.9天，平均亩产494.79公斤，适宜大田直播、旱育抛秧和常规水育秧栽培，适宜在江西、湖南、安徽、浙江的稻瘟病、白叶枯病轻发的双季稻区作早稻种植。
万吉晚包心大芥菜,农业##植物##种子,万吉晚包心大芥菜，中迟熟，直株半披身，叶葵扇形，绿色，无绒毛，叶柄扁阔，肉厚，叶球紧凑均圆形，单株重4-5千克，叶球净重2.5-3.5千克，亩产4000-5000公斤。耐抽苔，抗病，品质优， 味甜脆少渣，熟食及腌制加工均可。
五优376,农业##植物,五优376是由广东省农业科学院水稻研究所研制的品种，2010、2011年早造参加省区试，平均亩产分别为436.88公斤和527.0公斤，是生物学植物系统分类中被子植物门下一个的物种名称。
五优613,农业##农作物##植物##水稻,五优613，感温型三系杂交稻组合。晚造平均全生育期108～110天，与对照种优优122相当。植株矮壮，株型中集，分蘖力中强，穗粒数多，抗倒力强，耐寒性中。适宜在湖南省稻瘟病轻发区作双季晚稻种植。
五叶米冬瓜,农业##植物##种子,五叶米冬瓜，该品种为地方优选，茎蔓生、特早熟，生长势强，主蔓最早3-5节始现雌花，单株结瓜2-3个，瓜长圆形，单瓜重1.5-2.5公斤便可采收，最大约5-8公斤，商品性好，经济价值高，亩产7000公斤以上。
