荸荠杨梅: 	杨梅:S-Nh 
夏黑葡萄: 	夏黑葡萄:S-Nh 夏黑:S-Nh 
咸菁: 	田菁属:S-Nh 
苏棉28: 	
西部乳业: 	新西兰:S-Ns 新西兰:S-Ns 中国:S-Ns 新西兰:S-Ns 中国:S-Ns 格旺特:S-Nh 新西兰:B-Ns 南岛:E-Ns 格旺特:S-Nh 新西兰:S-Ns 新西兰:S-Ns 新西兰:S-Ns 新西兰:S-Ns 霍克:S-Nh 罗:B-Ni 莱斯顿:I-Ni 两处:I-Ni 分公司:E-Ni 新西兰:S-Ns 霍克:S-Nh 罗德:S-Nh 罗德:S-Nh 而罗德:S-Nh 中国:S-Ns 中国:S-Ns 中国:S-Ns 阿旺特:B-Ni 国际:I-Ni 乳业:I-Ni 新西兰:I-Ni 活力:I-Ni 牧场:E-Ni 中国:S-Ns 中国:S-Ns 新西兰:S-Ns 罗德:S-Nh 中国:S-Ns 中国:S-Ns 中国:S-Ns  :S-Nh 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 罗德:S-Nh 中国:S-Ns 中国:S-Ns 中国:S-Ns 新西兰:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 中国:S-Ns 罗德:B-Nh 奎因:E-Nh 中国:S-Ns 格旺特:S-Nh 
樱桃苗: 	山西:B-Ni 天龙:I-Ni 苗圃:E-Ni 
中国油茶之乡: 	湖南:B-Ns 江西:I-Ns 广东:I-Ns 湖北:I-Ns 广西:I-Ns 福建:I-Ns 省:I-Ns 湖南:I-Ns 江西:E-Ns 中国:B-Ni 经济林:I-Ni 协会:E-Ni 中国油茶之乡:S-Ns 江西:B-Ns 丰城市:I-Ns 湖南:I-Ns 攸县:I-Ns 广东:I-Ns 兴宁市:I-Ns 平远县:I-Ns 湖北:I-Ns 麻城市:I-Ns 兴远县:I-Ns 湖南:I-Ns 邵阳县:I-Ns 福建省:I-Ns 福安市:E-Ns 
湘西椪柑: 	湘西椪柑:B-Ni 湖南省:I-Ni 湘西自治州:I-Ni 特产:I-Ni 中国:I-Ni 地理:E-Ni 湘西:B-Ns 中国:E-Ns 湘西:S-Ns 中国:B-Ni 果品:I-Ni 协会:E-Ni 中国:S-Ns 湘西:S-Ns 桔中:B-Ni 之王:I-Ni 美称:I-Ni 中国:S-Ns 中国:S-Ns 上海:S-Ns 中国:B-Ni 绿色食品:I-Ni 发展:I-Ni 中心:E-Ni 
星油藤: 	
油橄榄疮痂病: 	四川:B-Ns 陕西:I-Ns 湖北:I-Ns 广西:E-Ns 
中国丹桂之乡: 	中国丹桂之乡:S-Ns 中国:B-Ni 经济林:I-Ni 协会:E-Ni 浦城县:B-Ns 中国丹桂之乡:E-Ns 浦城:S-Ns 江苏:B-Ns 浙江:I-Ns 北京:I-Ns 上海:E-Ns 上海:B-Ni 世博园:E-Ni 北京:S-Ns 浦城:B-Ni 丹桂:I-Ni 树:I-Ni 浦城:S-Ns 中国丹桂之乡:B-Ns 福建:I-Ns 浦城:E-Ns 中国:S-Ns 中国丹桂之乡:S-Ns 屈原:S-Nh 浦城:S-Ns 楚国:S-Ns 屈原:S-Nh 南山:S-Ns 南山:S-Ns 之山:S-Ns 南山:S-Ns 之山:S-Ns 司马迁:S-Nh 江南:S-Ns 刘歆:S-Nh 西京:S-Ns 上林苑:S-Ns 汉元鼎:S-Ns 南越:S-Ns 武帝:S-Nh 南越:S-Ns 东越:S-Ns 王馀善:S-Nh 浦城:S-Ns 浦城:B-Ns 临江:E-Ns 汉阳:S-Ns 武帝:S-Nh 四路:S-Ns 东越:S-Ns 武帝:S-Nh 江淹:S-Nh 吴兴:S-Nh 浦城:S-Ns 江淹:S-Nh 北山:S-Ns 南江:S-Ns 若虹:S-Nh 浦城:B-Ns 九石渡:E-Ns 浦城:S-Ns 浙江大学:S-Ni 余明:S-Nh 浦城:S-Ns 丹桂:S-Nh 江淹:S-Nh 远山:S-Ns 舒金:S-Nh 郭沫若:S-Nh 江淹:S-Nh 吴兵:S-Nh 江淹:S-Nh 江淹:S-Nh 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 唐贞元:S-Nh 闽南:S-Ns 林披:S-Nh 林藻:B-Nh 林蕴:E-Nh 浦城县:S-Ns 五显岭:S-Ns 中原:S-Ns 岭南:S-Ns 浦城:S-Ns 兆祥:S-Nh 林藻:S-Nh 黄滔:S-Nh 浦城:S-Ns 南浦:S-Ns 浦城县:S-Ns 浦城:S-Ns 唐乾宁:S-Nh 浦城:S-Ns 嘉:S-Nh 浦城:S-Ns 祖祠:B-Ns 资福寺:E-Ns 乌阴桥:S-Ns 题资福寺:S-Ns 文昌:S-Ns 耿耿:S-Nh 浦城:S-Ns 章氏:S-Nh 章衡:S-Nh 宋仁宗:S-Nh 赵祯:S-Nh 章衡:S-Nh 万里:S-Nh 浦城:B-Ns 莲塘:I-Ns 镇余乐村:E-Ns 万里:S-Nh 章衡:S-Nh 丹桂:B-Ns 之乡:E-Ns 浦城:S-Ns 宋仁宗:S-Nh 丹:S-Nh 浦城:S-Ns 浙江:B-Ns 天台:E-Ns 宋仁宗:S-Nh 钱塘:S-Ns 吴自牧:S-Nh 梁录:S-Nh 清乾隆:B-Ns 浙江:E-Ns 宋高宗:S-Nh 南渡:S-Ns 临安:S-Ns 德寿宫:S-Ns 象山:S-Ns 高宗:S-Nh 杨万里:S-Nh 范成大:S-Nh 李清照:S-Nh 花中:S-Ns 宋仁宗:S-Nh 丹桂:S-Nh 中国丹桂之乡:S-Ns 浦城:S-Ns 上海:B-Ni 科学技术:I-Ni 出版社:E-Ni 杨康民:S-Nh 中国:S-Ns 浦城:S-Ns 杭州:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城县:S-Ns 浦城县:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 厦门:B-Ni 教育:I-Ni 学院:E-Ni 沈世豪:S-Nh 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 遍山:S-Ns 浦城:S-Ns 孙振豪:S-Nh 郑天锦作:S-Nh 郭宜:S-Nh 桂兰:B-Nh 森:E-Nh 浦城县:S-Ns 越山:S-Ns 之枕山:B-Ns 浦城:E-Ns 山西:S-Ns 刘向:S-Nh 九滨:S-Ns 浦城县:S-Ns 满城:S-Ns 南浦:S-Ns 陈焯:S-Nh 沼西:B-Ns 灵石:E-Ns 浦城:B-Ns 署县:E-Ns 南平:S-Ns 谭垣:S-Nh 浦城:S-Ns 丛桂阴:S-Ns 郑潭作:B-Nh 诗云:E-Nh 孙霖:S-Nh 灵石:S-Ns 浦城:S-Ns 日本:S-Ns 浦城:S-Ns 浦城:B-Ni 丹桂:E-Ni 上海:B-Ns 北京:E-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城:S-Ns 浦城县:S-Ns 浦城:B-Ni 临江镇:I-Ni 水:I-Ni 东村:I-Ni 杨柳:E-Ni 丹桂:B-Nh 王:I-Nh 九龙:S-Ns 王:S-Nh 唐桂:S-Nh 中国:S-Ns 上海:B-Ni 科技:I-Ni 出版社:E-Ni 富岭:S-Ns 源村:S-Ns 王外:S-Nh 富岭:B-Ns 镇靖:I-Ns 坑村:E-Ns 浦城县:S-Ns 浦城:S-Ns 浦城县:S-Ns 浦城县:S-Ns 浦城县:S-Ns 中国丹桂之乡:B-Ni 中国:I-Ni 经济林:I-Ni 协会:E-Ni 浦城:B-Ni 丹桂:E-Ni 之乡:S-Ns 浦城:S-Ns 
竹篙薯: 	江南:S-Ns 淮山:S-Ns 淮山:S-Ns 赣江:S-Ns 江西省:B-Ns 泰和县:I-Ns 万合镇:E-Ns 
紫乳无核葡萄: 	欧亚:S-Ns 中国:S-Ns 中国:S-Ns 青岛市:S-Ns 山东:B-Ni 卫视:E-Ni 
武都油橄榄: 	武都油橄榄:B-Ns 甘肃省:I-Ns 陇南:E-Ns 武都:S-Ns 武都:S-Ns 中国:S-Ns 中国:B-Ni 四大:E-Ni 中国:S-Ns 甘肃省:S-Ns 中国:S-Ns ‍:S-Nh 
